ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10400515100760001,9/9/2023,9/10/2023 9:13,22:15,22:30,1.331,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,22:30,22:45,1.073,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,22:45,23:00,0.904,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,23:00,23:15,0.793,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,23:15,23:30,0.842,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,23:30,23:45,0.933,A,Consumption
'10400515100760001,9/9/2023,9/10/2023 9:13,23:45,0:00,1.025,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,0:00,0:15,2.183,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,0:15,0:30,2.856,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,0:30,0:45,2.769,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,0:45,1:00,2.823,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,1:00,1:15,1.832,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,1:15,1:30,0.772,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,1:30,1:45,1.009,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,1:45,2:00,1.058,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,2:00,2:15,0.829,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,2:15,2:30,1.015,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,2:30,2:45,0.835,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,2:45,3:00,0.861,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,3:00,3:15,1.045,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,3:15,3:30,0.855,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,3:30,3:45,1.026,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,3:45,4:00,0.518,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,4:00,4:15,0.916,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,4:15,4:30,0.805,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,4:30,4:45,0.965,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,4:45,5:00,0.409,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,5:00,5:15,0.808,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,5:15,5:30,0.747,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,5:30,5:45,0.991,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,5:45,6:00,0.5,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,6:00,6:15,0.767,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,6:15,6:30,0.929,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,6:30,6:45,0.472,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,6:45,7:00,0.722,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,7:00,7:15,0.507,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,7:15,7:30,0.949,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,7:30,7:45,0.606,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,7:45,8:00,0.561,A,Consumption
'10400515100760001,9/10/2023,9/11/2023 8:35,8:00,8:15,0.751,A,Consumption
